address,city,state,zip,price,beds,baths,sqft,lat,lon,url,flags,district,district_grades,elem,mid,high,top_school,top_rating,school_count
10 1/2 Ellsworth St,Worcester,MA,01610,,,,,42.252438,-71.800499,https://www.realtor.com/rentals/details/10-12-Ellsworth-St_Worcester_MA_01610_M95192-90139,,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
1 Congress St Unit 1,Worcester,MA,01609,2300.0,3.0,1.0,1288.0,42.26302,-71.809248,https://www.realtor.com/rentals/details/1-Congress-St_Worcester_MA_01609_M45271-54905,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
555 Park Ave Apt 1,Worcester,MA,01603,2795.0,4.0,2.0,1500.0,42.250393,-71.830406,https://www.realtor.com/rentals/details/555-Park-Ave-Apt-1_Worcester_MA_01603_M92318-58132,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
16 Hillside St,Worcester,MA,01610,1875.0,3.0,1.0,1200.0,42.247547,-71.796761,https://www.realtor.com/rentals/details/16-Hillside-St_Worcester_MA_01610_M94249-87060,,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
125 Hamilton St,Worcester,MA,01604,2200.0,3.0,1.0,,42.256454,-71.777267,https://www.realtor.com/rentals/details/125-Hamilton-St_Worcester_MA_01604_M94969-91445,MULTI,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
94 Lovell St Apt 3,Worcester,MA,01603,2000.0,3.0,1.0,1239.0,42.25312,-71.832375,https://www.realtor.com/rentals/details/94-Lovell-St-Apt-3_Worcester_MA_01603_M96438-01550,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
4 Park Ave Pl Unit 14,Worcester,MA,01603,1800.0,2.0,1.0,,42.247998,-71.832047,https://www.realtor.com/rentals/details/4-Park-Avenue-Pl-Apt-14_Worcester_MA_01603_M37459-14528,UNIT|MULTI,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
7 Dupont St Unit 1L,Worcester,MA,01604,2000.0,2.0,1.0,1000.0,42.256527,-71.784081,https://www.realtor.com/rentals/details/7-Dupont-St-Apt-1_Worcester_MA_01604_M98398-85191,UNIT,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
15 Hillside St Apt 3,Worcester,MA,01610,2049.0,3.0,1.0,1100.0,42.247944,-71.796684,https://www.realtor.com/rentals/details/15-Hillside-St-Apt-3_Worcester_MA_01610_M43458-82018,UNIT,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
38 Fox St Apt 2,Worcester,MA,01604,2200.0,3.0,1.0,1200.0,42.254417,-71.795708,https://www.realtor.com/rentals/details/38-Fox-St-Apt-2_Worcester_MA_01604_M94503-00504,UNIT,Worcester School District,PK-12,5.2,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
64 Beacon St Apt B308,Worcester,MA,01608,1890.0,1.0,1.0,811.0,42.255821,-71.806908,https://www.realtor.com/rentals/details/64-Beacon-St-Apt-B308_Worcester_MA_01608_M91026-74014,UNIT,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
29 Parker St Unit 1,Worcester,MA,01610,1600.0,1.0,1.0,99999.0,42.258747,-71.821541,https://www.realtor.com/rentals/details/29-Parker-St-1_Worcester_MA_01610_M93650-11680,UNIT|SQFT?|PRICE?|MULTI,Worcester School District,PK-12,5.2,4.3,10.0,Massachusetts Academy for Math and Science at WPI,10,23
56 Wigwam Hill Dr Unit 56,Worcester,MA,01605,2400.0,2.0,1.0,1032.0,42.286195,-71.760963,https://www.realtor.com/rentals/details/56-Wigwam-Hill-Dr_Worcester_MA_01605_M39177-54731,UNIT|MULTI,Worcester School District,PK-12,5.1,5.2,10.0,Massachusetts Academy for Math and Science at WPI,10,21
11 Gibbs Unit I-134 St Unit G109,Worcester,MA,01607,2000.0,2.0,2.0,1000.0,42.235552,-71.788511,https://www.realtor.com/rentals/details/11-Gibbs-St-Unit-G109_Worcester_MA_01607_M91864-76504,UNIT,Worcester School District,PK-12,5.1,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
7 Fairbanks St Apt 3L,Worcester,MA,01610,1750.0,2.0,1.0,,42.244461,-71.794342,https://www.realtor.com/rentals/details/7-Fairbanks-St-Apt-3L_Worcester_MA_01610_M95451-38733,UNIT,Worcester School District,PK-12,5.1,4.0,10.0,Massachusetts Academy for Math and Science at WPI,10,22
361 Mill St,Worcester,MA,01602,1000.0,1.0,1.0,,42.259762,-71.850161,https://www.realtor.com/rentals/details/361-Mill-St_Worcester_MA_01602_M45842-19549,ROOM,Worcester School District,PK-12,5.1,4.7,7.0,Massachusetts Academy for Math and Science at WPI,10,22
