lat,lon,city,state,address,level,mls_name,ncessch,nces_name,leaid,match_method
42.621027,-73.116107,Adams,MA,32 Summer St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.624803,-73.122135,Adams,MA,3 West St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.619683,-73.117713,Adams,MA,10 Summer St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.631243,-73.113939,Adams,MA,4 Albert St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.623627,-73.120645,Adams,MA,2 Melrose St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.619683,-73.117713,Adams,MA,10 Summer St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.620931,-73.115459,Adams,MA,35 Summer St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.604678,-73.141087,Adams,MA,380 West Rd,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.631288,-73.104882,Adams,MA,30 Anthony St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.630759,-73.126278,Adams,MA,4 Water St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.627059,-73.121028,Adams,MA,32 Valley St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.621662,-73.079491,Adams,MA,472 and 0 Upper E Hoosac St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.605842,-73.096466,Adams,MA,100 Walling Rd,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.614153,-73.121804,Adams,MA,10 Bellevue Ave,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.623232,-73.119607,Adams,MA,71-77 Park St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.606522,-73.101386,Adams,MA,9 East Rd,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.621598,-73.115413,Adams,MA,46 Summer St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.602742,-73.142101,Adams,MA,410 West Rd,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.621662,-73.079491,Adams,MA,472 and 0 E Hoosac St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.62186,-73.11315,Adams,MA,8 Cherry St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.627031,-73.110125,Adams,MA,27 Richmond Ln,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.615134,-73.124764,Adams,MA,24 Temple St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.616204,-73.117562,Adams,MA,33 Orchard St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.618328,-73.122269,Adams,MA,1 Noble Pl,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.624638,-73.121116,Adams,MA,22 Maple St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.625437,-73.12651,Adams,MA,13 Simon Ave,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.631855,-73.118694,Adams,MA,125 Friend St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.627059,-73.121028,Adams,MA,32 Valley St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.622603,-73.113236,Adams,MA,8 Richmond St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.605609,-73.122689,Adams,MA,20 Overlook Ter,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.62228,-73.114708,Adams,MA,58 Summer St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.621598,-73.115413,Adams,MA,46 Summer St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.626011,-73.110741,Adams,MA,11 Richmond Ln,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.613398,-73.11768,Adams,MA,4 E Orchard Ter,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.623074,-73.122614,Adams,MA,17 Bobs Hl,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.622219,-73.113511,Adams,MA,5 Richmond St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.631706,-73.114746,Adams,MA,98-100 Columbia St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.615345,-73.118958,Adams,MA,34-36 Crandall St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.621532,-73.117569,Adams,MA,25 Spring St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.624446,-73.107998,Adams,MA,59 E Hoosac St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.632899,-73.11287,Adams,MA,Albert St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.615149,-73.122584,Adams,MA,8 Glenn St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.63893,-73.099837,Adams,MA,12 Wenzel Ter,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.62086,-73.104312,Adams,MA,18 Dubis St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.625969,-73.113052,Adams,MA,16 and 18 N Summer St,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
42.625738,-73.110807,Adams,MA,9 Richmond Ln,elementary,Hoosac Valley Elementary,250178000023,Hoosac Valley Elementary School,2501780,best_match
