lat,lon,city,state,address,elementary,middle,high,property_url
42.045822,-70.690145,Duxbury,MA,1141 Tremont St,Chandler,Alden,Alden,https://www.realtor.com/realestateandhomes-detail/1141-Tremont-St_Duxbury_MA_02332_M33388-27274
42.056974,-70.69962,Duxbury,MA,4 Rachael Ln,Chandler Elementary,Duxbury Middle School,Duxbury High School,https://www.realtor.com/realestateandhomes-detail/4-Rachael-Ln_Duxbury_MA_02332_M46288-53479
42.058929,-70.700236,Duxbury,MA,11 Simmons Dr,Chandler Alden,,,https://www.realtor.com/realestateandhomes-detail/11-Simmons-Dr_Duxbury_MA_02332_M37104-47625
42.011466,-70.705357,Duxbury,MA,20 Seabury Point Rd,Chandler/ Alden,,,https://www.realtor.com/realestateandhomes-detail/20-Seabury-Point-Rd_Duxbury_MA_02332_M37491-92313
42.010135,-70.722681,Duxbury,MA,40 Bay Farm Rd Unit 40,Alden / Chandler,Duxbury Middle School,Duxbury High School,https://www.realtor.com/realestateandhomes-detail/40-Bay-Farm-Rd_Duxbury_MA_02332_M39033-97377
42.024541,-70.762825,Duxbury,MA,171 Pine St,Chandler,Duxbury Middle School,Duxbury High School,https://www.realtor.com/realestateandhomes-detail/171-Pine-St_Duxbury_MA_02332_M36938-27014
42.066696,-70.697657,Duxbury,MA,242 Enterprise St,Chandler-Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/242-Enterprise-St_Duxbury_MA_02332_M44540-80763
42.025341,-70.737107,Duxbury,MA,17 Trout Farm Ln,Duxbury Element,Duxbury,Duxbury,https://www.realtor.com/realestateandhomes-detail/17-Trout-Farm-Ln_Duxbury_MA_02332_M46559-62969
42.042302,-70.747218,Duxbury,MA,25 Carriage Ln Unit 25,Chandler,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/25-Carriage-Ln_Duxbury_MA_02332_M41741-96751
42.033186,-70.673187,Duxbury,MA,1 Bumble Bee Ln,Chandler/ Alden,,,https://www.realtor.com/realestateandhomes-detail/1-Bumble-Bee-Ln_Duxbury_MA_02332_M40501-50658
42.062816,-70.720288,Duxbury,MA,10 Checkerberry Cir,Chandler,Alden,,https://www.realtor.com/realestateandhomes-detail/10-Checkerberry-Cir_Duxbury_MA_02332_M95203-24947
42.04246,-70.720126,Duxbury,MA,42 Christina Ct,Chandler,Alden,Duxbury High,https://www.realtor.com/realestateandhomes-detail/42-Christina-Ct_Duxbury_MA_02332_M34864-74938
42.051473,-70.721171,Duxbury,MA,225 Lincoln St Apt A3,Alden / Chandler,,,https://www.realtor.com/realestateandhomes-detail/225-Lincoln-St-Apt-A3_Duxbury_MA_02332_M47691-61158
42.073905,-70.747624,Duxbury,MA,695 Keene St,Chandler/Alden Elementary,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/695-Keene-St_Duxbury_MA_02332_M96502-87228
42.02227,-70.738827,Duxbury,MA,7 Bassett Brook Ln,Chandler,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/7-Bassett-Brook-Ln_Duxbury_MA_02332_M45213-03968
42.058796,-70.731269,Duxbury,MA,96 Plantation Dr,Chandler Elementary,,,https://www.realtor.com/realestateandhomes-detail/96-Plantation-Dr_Duxbury_MA_02332_M45006-67563
42.019152,-70.700991,Duxbury,MA,89 Indian Trl,Chandler/Alden,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/89-Indian-Trl_Duxbury_MA_02332_M38366-92746
42.056504,-70.699062,Duxbury,MA,12 Rachael Ln,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/12-Rachael-Ln_Duxbury_MA_02332_M37056-40318
42.039449,-70.738448,Duxbury,MA,36 Bianca Rd,Chandler,Duxbury Ms,Duxbury Hs,https://www.realtor.com/realestateandhomes-detail/36-Bianca-Rd_Duxbury_MA_02332_M48833-51527
42.026254,-70.674779,Duxbury,MA,157 Washington St,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/157-Washington-St_Duxbury_MA_02332_M46746-43140
42.017633,-70.704664,Duxbury,MA,12 Spruce Ln,Chandler/ Alden,,,https://www.realtor.com/realestateandhomes-detail/12-Spruce-Ln_Duxbury_MA_02332_M38624-04840
42.057257,-70.732459,Duxbury,MA,45 Plantation Dr,Alden/Chandler,Duxbury Middle,Duxbury High,https://www.realtor.com/realestateandhomes-detail/45-Plantation-Dr_Duxbury_MA_02332_M43283-08208
42.01944,-70.731625,Duxbury,MA,130 Buckboard Rd,Chandler/Alden,,,https://www.realtor.com/realestateandhomes-detail/130-Buckboard-Rd_Duxbury_MA_02332_M47296-21993
42.091503,-70.707123,Duxbury,MA,10 Snowy Owl Cir,Chandler/Alden,Middle,High,https://www.realtor.com/realestateandhomes-detail/10-Snowy-Owl-Cir_Duxbury_MA_02332_M94807-74522
